index,product,file,url
1,"Fresh Banana Robusta","FAILED","http://127.0.0.1:3001/api/products?page=1&limit=200","
2,"Apple Royal Gala","apple-royal-gala-4-pcs.webp","https://i.pinimg.com/1200x/02/49/5f/02495fb1b8bd32a24fb8eb483a18a074.jpg"
3,"Pomegranate","pomegranate-2-pcs.webp","https://i.pinimg.com/1200x/62/a8/bd/62a8bd58fbc9bb5d7e5517ac0d2d1ce6.jpg"
4,"Orange Nagpur","orange-nagpur-1-kg.webp","https://i.pinimg.com/1200x/4f/78/2c/4f782cd857d7db20ec02e6bcf0df9650.jpg"
5,"Papaya Semi Ripe","papaya-semi-ripe-1-pc.webp","https://i.pinimg.com/736x/b6/41/d8/b641d83d30b2950130c08a97421cf0a5.jpg"
6,"Tomato Hybrid","tomato-hybrid-1-kg.webp","https://i.pinimg.com/1200x/e7/1f/bf/e71fbfc7add78aefc7d81dad746b1f0d.jpg"
7,"Onion Red","onion-red-1-kg.webp","https://i.pinimg.com/1200x/a8/b2/4e/a8b24e299e9ac81c471603c625cdf881.jpg"
8,"Potato Fresh","potato-fresh-1-kg.webp","https://i.pinimg.com/736x/fb/e2/7e/fbe27ecbfa5be5d650794aaaea86efd9.jpg"
9,"Carrot Orange","carrot-orange-500-g.webp","https://i.pinimg.com/1200x/c3/18/1f/c3181f984bb9b610fc4bb250ff6cec73.jpg"
10,"Cucumber Green","cucumber-green-500-g.webp","https://i.pinimg.com/1200x/dc/af/94/dcaf9447d71b93c21be92a042f68bbab.jpg"
11,"Capsicum Green","capsicum-green-250-g.webp","https://i.pinimg.com/1200x/d6/6b/25/d66b257fa3fb12c27b3b0e5f9ebf3885.jpg"
12,"Cauliflower","cauliflower-1-pc.webp","https://i.pinimg.com/736x/2b/6b/3d/2b6b3d87b8c448e46cca0d2a9fa1a7ae.jpg"
13,"Spinach Palak","spinach-palak-1-bunch.webp","https://i.pinimg.com/736x/c0/35/c6/c035c650c1a4075d1b4aa9631a43dfad.jpg"
14,"Coriander Leaves","coriander-leaves-100-g.webp","https://i.pinimg.com/1200x/29/40/61/294061c8da24641b45df7c7f672faf32.jpg"
15,"Green Chilli","green-chilli-100-g.webp","https://i.pinimg.com/736x/1a/f0/f4/1af0f44c36a75fff5e1d2beb447c1b8f.jpg"
16,"Amul Taaza Toned Milk","amul-taaza-toned-milk-500-ml.webp","https://i.pinimg.com/1200x/37/61/7d/37617d73766f34c8f4a6dd4702fa7517.jpg"
17,"Amul Gold Full Cream Milk","amul-gold-full-cream-milk-500-ml.webp","https://i.pinimg.com/1200x/f9/a3/a1/f9a3a14f1d0c1ca829f0604c07181e0e.jpg"
18,"Mother Dairy Curd","mother-dairy-curd-400-g.webp","https://i.pinimg.com/1200x/c0/f0/b2/c0f0b28cfb26c75fffa75508520dab79.jpg"
19,"Amul Fresh Paneer","amul-fresh-paneer-200-g.webp","https://i.pinimg.com/736x/fc/df/7c/fcdf7c97c46ab2916a4920e95df073ef.jpg"
20,"Britannia Brown Bread","britannia-brown-bread-400-g.webp","https://i.pinimg.com/1200x/2a/23/03/2a230329886a28901c9bd7b515c82112.jpg"
21,"Harvest Gold White Bread","harvest-gold-white-bread-350-g.webp","https://i.pinimg.com/736x/4a/cc/5f/4acc5f804f89cd17ef7efe9d87c2e37b.jpg"
22,"Farm Fresh Eggs","farm-fresh-eggs-6-pcs.webp","https://i.pinimg.com/1200x/b4/20/05/b420057d08ea1f75ad57207df80dfe84.jpg"
23,"Amul Butter","amul-butter-100-g.webp","https://i.pinimg.com/1200x/0a/d9/3b/0ad93be6dc997d390334585b6e71eeb4.jpg"
24,"Amul Cheese Slices","amul-cheese-slices-200-g.webp","https://i.pinimg.com/736x/d7/05/53/d70553b9fe2f9dece5301221d2558f6a.jpg"
25,"Aashirvaad Shudh Chakki Atta","aashirvaad-shudh-chakki-atta-5-kg.webp","https://i.pinimg.com/1200x/b7/51/00/b75100cb2935a0d9256a1bbecf45f618.jpg"
